Street Address,Zipcode,City,State,Price,Yearly Rent,Payback Ratio (in years),Bedrooms,Bathrooms,Living Area,Home Type,Home Status,Days On Zillow,Monthly Rent Per SqFt,Yearly Rent Per SqFt
560 Buckeye Ln LOT 49,37042,Clarksville,TN,274400,0,0,3,3,1453,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
440 Pomeroy Dr LOT 204,37042,Clarksville,TN,0,0,0,4,3,2220,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
373 Timber Spgs,37042,Clarksville,TN,0,0,0,3,3,2250,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
3601 Prestwicke Pl LOT 56,37010,Adams,TN,0,0,0,4,3,2586,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
216 Dana Cir LOT 5,37043,Clarksville,TN,0,0,0,3,3,1802,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
250 Mills Dr LOT 250,37042,Clarksville,TN,0,0,0,3,3,1432,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
1 Britton Springs Rd,37042,Clarksville,TN,0,0,0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
0 Britton Springs Rd,37042,Clarksville,TN,0,15600,0.0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
2830 Brothers Rd LOT 17,37043,Clarksville,TN,0,0,0,3,3,2863,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
1145 Presto Ct LOT 69,37010,Adams,TN,0,0,0,3,3,2685,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
379 Edmondson Ferry Rd,37040,Clarksville,TN,368700,0,0,3,2,1799,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
9 Proctor Dr,37043,Clarksville,TN,0,10200,0.0,4,2,1792,MULTI_FAMILY,FOR_SALE,-1,0.47,5.69
1536 Kestrel Dr,37040,Clarksville,TN,0,29976,0.0,4,3,2675,SINGLE_FAMILY,FOR_SALE,-1,0.93,11.21
0 Gary Ct,37043,Clarksville,TN,0,0,0,5,6,3924,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
0 Sevier St,37042,Clarksville,TN,0,0,0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
11 Gary Ct LOT 14A,37043,Clarksville,TN,0,0,0,2,2,1468,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
21 Proctor Dr,37043,Clarksville,TN,0,10200,0.0,4,2,1792,MULTI_FAMILY,FOR_SALE,-1,0.47,5.69
14 Proctor Dr #1,37043,Clarksville,TN,0,0,0,2,1,1650,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
9 Gary Ct LOT 14/15,37043,Clarksville,TN,0,0,0,3,2,2620,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
3856 Maliki Dr LOT 429,37042,Clarksville,TN,344200,0,0,4,3,1800,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
2980 Gibbs Ln LOT 141,37040,Clarksville,TN,383000,0,0,5,3,2250,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
1013 Charles Thomas Dr,37042,Clarksville,TN,0,19116,0.0,3,2,1400,SINGLE_FAMILY,FOR_SALE,-1,1.14,13.65
1933 Sydney Louise Dr LOT 343,37042,Clarksville,TN,0,0,0,4,3,2065,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
